user_id,skill_name,skill_id,problem_id,correct,time loap,question_level,template_id,fake_skill_name,attempt_count,hint_count
16032024,Logical Reasoning and Objectivity (critical thinking),3972,55088,0,33.12753337,Easy,2024001,Logical Reasoning and Objectivity (critical thinking),1,0
17032024,Problem-solving,3977,55089,0,,,2024002,Problem-solving,1,0
18032024,Writing coding effectively,3982,55090,0,,,2024003,Writing coding effectively,1,0
19032024,Interaction with algorithm,3987,55091,0,,,2024004,Interaction with algorithm,1,0
20032024,Mapping code using a flowchart and pseudocode,3992,55092,0,,,2024005,Mapping code using a flowchart and pseudocode,1,0
21032024,Logical Reasoning and Objectivity (critical thinking),3997,55093,0,,,2024006,Logical Reasoning and Objectivity (critical thinking),1,0
22032024,Problem-solving,4002,55094,1,,,2024007,Problem-solving,1,0
23032024,Writing coding effectively,4007,55095,1,,,2024008,Writing coding effectively,1,0
24032024,Interaction with algorithm,4012,55096,1,,,2024009,Interaction with algorithm,1,0
25032024,Mapping code using a flowchart and pseudocode,4017,55097,1,,,2024010,Mapping code using a flowchart and pseudocode,1,0
26032024,Logical Reasoning and Objectivity (critical thinking),4022,55098,0,,,2024011,Logical Reasoning and Objectivity (critical thinking),1,0
27032024,Problem-solving,4027,55099,1,,,2024012,Problem-solving,1,0
28032024,Writing coding effectively,4032,55100,1,,,2024013,Writing coding effectively,1,0
29032024,Interaction with algorithm,4037,55101,1,,,2024014,Interaction with algorithm,1,0
30032024,Mapping code using a flowchart and pseudocode,4042,55102,1,,,2024015,Mapping code using a flowchart and pseudocode,1,0
31032024,Logical Reasoning and Objectivity (critical thinking),4047,55103,0,,,2024016,Logical Reasoning and Objectivity (critical thinking),1,0
32032024,Problem-solving,4052,55104,0,,,2024017,Problem-solving,1,0
33032024,Writing coding effectively,4057,55105,1,,,2024018,Writing coding effectively,1,0
34032024,Interaction with algorithm,4062,55106,1,,,2024019,Interaction with algorithm,1,0
35032024,Mapping code using a flowchart and pseudocode,4067,55107,1,,,2024020,Mapping code using a flowchart and pseudocode,1,0
36032024,Logical Reasoning and Objectivity (critical thinking),4072,55108,0,,,2024021,Logical Reasoning and Objectivity (critical thinking),1,0
37032024,Problem-solving,4077,55109,0,,,2024022,Problem-solving,1,0
38032024,Writing coding effectively,4082,55110,1,,,2024023,Writing coding effectively,1,0
39032024,Interaction with algorithm,4087,55111,1,,,2024024,Interaction with algorithm,1,0
40032024,Mapping code using a flowchart and pseudocode,4092,55112,1,,,2024025,Mapping code using a flowchart and pseudocode,1,0
41032024,Logical Reasoning and Objectivity (critical thinking),4097,55113,0,,,2024026,Logical Reasoning and Objectivity (critical thinking),1,0
42032024,Problem-solving,4102,55114,1,,,2024027,Problem-solving,1,0
43032024,Writing coding effectively,4107,55115,1,,,2024028,Writing coding effectively,1,0
44032024,Interaction with algorithm,4112,55116,1,,,2024029,Interaction with algorithm,1,0
45032024,Mapping code using a flowchart and pseudocode,4117,55117,1,,,2024030,Mapping code using a flowchart and pseudocode,1,0
46032024,Logical Reasoning and Objectivity (critical thinking),4122,55118,1,,,2024031,Logical Reasoning and Objectivity (critical thinking),1,0
47032024,Problem-solving,4127,55119,1,,,2024032,Problem-solving,1,0
